ID,Class
1,NORMAL
2,SLOW
3,SLOW
4,SLOW
5,SLOW
6,AGGRESSIVE
7,AGGRESSIVE
8,AGGRESSIVE
9,AGGRESSIVE
10,AGGRESSIVE
11,AGGRESSIVE
12,AGGRESSIVE
13,AGGRESSIVE
14,AGGRESSIVE
15,AGGRESSIVE
16,AGGRESSIVE
17,AGGRESSIVE
18,AGGRESSIVE
19,AGGRESSIVE
20,SLOW
21,SLOW
22,SLOW
23,SLOW
24,AGGRESSIVE
25,AGGRESSIVE
26,SLOW
27,SLOW
28,SLOW
29,SLOW
30,SLOW
31,SLOW
32,SLOW
33,SLOW
34,SLOW
35,AGGRESSIVE
36,SLOW
37,SLOW
38,AGGRESSIVE
39,SLOW
40,AGGRESSIVE
41,SLOW
42,SLOW
43,AGGRESSIVE
44,AGGRESSIVE
45,SLOW
46,SLOW
47,AGGRESSIVE
48,AGGRESSIVE
49,SLOW
50,SLOW
51,SLOW
52,SLOW
53,SLOW
54,SLOW
55,AGGRESSIVE
56,SLOW
57,SLOW
58,SLOW
59,AGGRESSIVE
60,SLOW
61,SLOW
62,SLOW
63,AGGRESSIVE
64,SLOW
65,SLOW
66,SLOW
67,SLOW
68,SLOW
69,SLOW
70,SLOW
71,SLOW
72,SLOW
73,SLOW
74,SLOW
75,AGGRESSIVE
76,SLOW
77,SLOW
78,SLOW
79,SLOW
80,SLOW
81,SLOW
82,AGGRESSIVE
83,SLOW
84,SLOW
85,SLOW
86,SLOW
87,SLOW
88,AGGRESSIVE
89,SLOW
90,AGGRESSIVE
91,SLOW
92,SLOW
93,SLOW
94,SLOW
95,SLOW
96,SLOW
97,AGGRESSIVE
98,SLOW
99,SLOW
100,SLOW
101,SLOW
102,SLOW
103,SLOW
104,SLOW
105,SLOW
106,SLOW
107,SLOW
108,AGGRESSIVE
109,SLOW
110,SLOW
111,SLOW
112,SLOW
113,SLOW
114,SLOW
115,SLOW
116,SLOW
117,AGGRESSIVE
118,AGGRESSIVE
119,SLOW
120,SLOW
121,SLOW
122,SLOW
123,SLOW
124,SLOW
125,SLOW
126,AGGRESSIVE
127,SLOW
128,SLOW
129,SLOW
130,SLOW
131,SLOW
132,SLOW
133,SLOW
134,SLOW
135,AGGRESSIVE
136,SLOW
137,SLOW
138,AGGRESSIVE
139,AGGRESSIVE
140,SLOW
141,SLOW
142,SLOW
143,SLOW
144,SLOW
145,SLOW
146,SLOW
147,SLOW
148,SLOW
149,SLOW
150,SLOW
151,AGGRESSIVE
152,SLOW
153,SLOW
154,SLOW
155,AGGRESSIVE
156,SLOW
157,SLOW
158,SLOW
159,SLOW
160,SLOW
161,SLOW
162,SLOW
163,SLOW
164,AGGRESSIVE
165,SLOW
166,AGGRESSIVE
167,SLOW
168,SLOW
169,SLOW
170,SLOW
171,SLOW
172,SLOW
173,AGGRESSIVE
174,SLOW
175,SLOW
176,SLOW
177,SLOW
178,AGGRESSIVE
179,SLOW
180,SLOW
181,SLOW
182,SLOW
183,AGGRESSIVE
184,SLOW
185,AGGRESSIVE
186,SLOW
187,SLOW
188,SLOW
189,SLOW
190,SLOW
191,SLOW
192,SLOW
193,SLOW
194,SLOW
195,SLOW
196,SLOW
197,SLOW
198,SLOW
199,SLOW
200,SLOW
201,SLOW
202,SLOW
203,SLOW
204,SLOW
205,SLOW
206,SLOW
207,SLOW
208,SLOW
209,SLOW
210,SLOW
211,SLOW
212,AGGRESSIVE
213,SLOW
214,AGGRESSIVE
215,SLOW
216,SLOW
217,SLOW
218,AGGRESSIVE
219,SLOW
220,SLOW
221,SLOW
222,SLOW
223,SLOW
224,SLOW
225,SLOW
226,SLOW
227,SLOW
228,SLOW
229,SLOW
230,SLOW
231,SLOW
232,SLOW
233,AGGRESSIVE
234,AGGRESSIVE
235,SLOW
236,AGGRESSIVE
237,SLOW
238,AGGRESSIVE
239,SLOW
240,SLOW
241,SLOW
242,AGGRESSIVE
243,SLOW
244,AGGRESSIVE
245,SLOW
246,AGGRESSIVE
247,AGGRESSIVE
248,AGGRESSIVE
249,AGGRESSIVE
250,AGGRESSIVE
251,SLOW
252,SLOW
253,SLOW
254,SLOW
255,SLOW
256,SLOW
257,SLOW
258,SLOW
259,SLOW
260,SLOW
261,SLOW
262,SLOW
263,SLOW
264,SLOW
265,SLOW
266,SLOW
267,SLOW
268,SLOW
269,SLOW
270,SLOW
271,SLOW
272,SLOW
273,SLOW
274,SLOW
275,SLOW
276,SLOW
277,SLOW
278,SLOW
279,SLOW
280,SLOW
281,SLOW
282,SLOW
283,SLOW
284,SLOW
285,SLOW
286,SLOW
287,SLOW
288,SLOW
289,SLOW
290,SLOW
291,SLOW
292,SLOW
293,SLOW
294,SLOW
295,SLOW
296,SLOW
297,SLOW
298,SLOW
299,SLOW
300,SLOW
301,SLOW
302,AGGRESSIVE
303,NORMAL
304,AGGRESSIVE
305,SLOW
306,SLOW
307,SLOW
308,SLOW
309,SLOW
310,AGGRESSIVE
311,SLOW
312,SLOW
313,SLOW
314,SLOW
315,SLOW
316,AGGRESSIVE
317,SLOW
318,SLOW
319,SLOW
320,SLOW
321,SLOW
322,SLOW
323,SLOW
324,AGGRESSIVE
325,SLOW
326,SLOW
327,SLOW
328,SLOW
329,SLOW
330,SLOW
331,SLOW
332,SLOW
333,SLOW
334,SLOW
335,SLOW
336,SLOW
337,SLOW
338,SLOW
339,SLOW
340,SLOW
341,SLOW
342,SLOW
343,AGGRESSIVE
344,SLOW
345,AGGRESSIVE
346,AGGRESSIVE
347,SLOW
348,SLOW
349,SLOW
350,SLOW
351,SLOW
352,SLOW
353,SLOW
354,SLOW
355,AGGRESSIVE
356,SLOW
357,SLOW
358,AGGRESSIVE
359,SLOW
360,SLOW
361,SLOW
362,SLOW
363,SLOW
364,SLOW
365,SLOW
366,SLOW
367,SLOW
368,SLOW
369,SLOW
370,SLOW
371,SLOW
372,SLOW
373,SLOW
374,AGGRESSIVE
375,SLOW
376,SLOW
377,SLOW
378,SLOW
379,SLOW
380,SLOW
381,SLOW
382,SLOW
383,SLOW
384,SLOW
385,SLOW
386,SLOW
387,SLOW
388,SLOW
389,AGGRESSIVE
390,SLOW
391,SLOW
392,SLOW
393,SLOW
394,SLOW
395,SLOW
396,SLOW
397,SLOW
398,SLOW
399,SLOW
400,SLOW
401,SLOW
402,SLOW
403,SLOW
404,SLOW
405,AGGRESSIVE
406,AGGRESSIVE
407,AGGRESSIVE
408,AGGRESSIVE
409,AGGRESSIVE
410,AGGRESSIVE
411,AGGRESSIVE
412,AGGRESSIVE
413,SLOW
414,AGGRESSIVE
415,AGGRESSIVE
416,AGGRESSIVE
417,AGGRESSIVE
418,AGGRESSIVE
419,AGGRESSIVE
420,AGGRESSIVE
421,AGGRESSIVE
422,AGGRESSIVE
423,AGGRESSIVE
424,AGGRESSIVE
425,AGGRESSIVE
426,AGGRESSIVE
427,SLOW
428,AGGRESSIVE
429,AGGRESSIVE
430,SLOW
431,SLOW
432,AGGRESSIVE
433,AGGRESSIVE
434,AGGRESSIVE
435,AGGRESSIVE
436,AGGRESSIVE
437,AGGRESSIVE
438,AGGRESSIVE
439,NORMAL
440,NORMAL
441,AGGRESSIVE
442,AGGRESSIVE
443,AGGRESSIVE
444,SLOW
445,AGGRESSIVE
446,SLOW
447,NORMAL
448,AGGRESSIVE
449,NORMAL
450,AGGRESSIVE
451,AGGRESSIVE
452,AGGRESSIVE
453,SLOW
454,SLOW
455,AGGRESSIVE
456,SLOW
457,SLOW
458,SLOW
459,SLOW
460,SLOW
461,SLOW
462,SLOW
463,SLOW
464,SLOW
465,SLOW
466,SLOW
467,SLOW
468,SLOW
469,AGGRESSIVE
470,AGGRESSIVE
471,SLOW
472,SLOW
473,AGGRESSIVE
474,SLOW
475,SLOW
476,SLOW
477,SLOW
478,SLOW
479,SLOW
480,SLOW
481,SLOW
482,SLOW
483,SLOW
484,AGGRESSIVE
485,SLOW
486,SLOW
487,SLOW
488,SLOW
489,SLOW
490,SLOW
491,SLOW
492,AGGRESSIVE
493,SLOW
494,SLOW
495,SLOW
496,SLOW
497,SLOW
498,SLOW
499,SLOW
500,SLOW
501,SLOW
502,SLOW
503,SLOW
504,AGGRESSIVE
505,AGGRESSIVE
506,AGGRESSIVE
507,AGGRESSIVE
508,AGGRESSIVE
509,SLOW
510,SLOW
511,SLOW
512,SLOW
513,NORMAL
514,AGGRESSIVE
515,AGGRESSIVE
516,AGGRESSIVE
